stl,fl,age,sex,year,source,species
194.0,158.0,8.0,f,2009.0,nsw1,btp
197.0,166.0,8.0,m,2009.0,nsw1,btp
168.0,138.0,5.0,m,2009.0,nsw1,btp
200.0,160.0,8.0,m,2009.0,nsw1,btp
190.0,157.0,8.0,m,2009.0,nsw1,btp
180.0,150.0,6.0,m,2009.0,nsw1,btp
172.0,138.0,6.0,m,2009.0,nsw1,btp
175.0,145.0,5.0,m,2009.0,nsw1,btp
252.0,202.0,19.0,m,2009.0,nsw1,btp
186.0,148.0,6.0,m,2009.0,nsw1,btp
233.0,195.0,13.0,m,2009.0,nsw1,btp
229.0,192.0,14.0,m,2009.0,nsw1,btp
233.0,180.0,10.0,m,2009.0,nsw1,btp
218.0,177.0,11.0,m,2009.0,nsw1,btp
241.0,195.0,,m,2009.0,nsw1,btp
179.0,144.0,5.0,f,2009.0,nsw1,btp
241.0,202.0,24.0,m,2010.0,nsw1,btp
204.0,169.0,7.0,m,2010.0,nsw1,btp
243.0,201.0,19.0,m,2010.0,nsw1,btp
171.0,139.0,4.0,m,2010.0,nsw1,btp
207.0,168.0,7.0,f,2010.0,nsw1,btp
205.0,165.0,8.0,m,2010.0,nsw1,btp
240.0,198.0,17.0,m,2010.0,nsw1,btp
197.0,161.0,7.0,m,2010.0,nsw1,btp
248.0,203.0,17.0,m,2010.0,nsw1,btp
206.0,169.0,7.0,m,2010.0,nsw1,btp
217.0,192.0,12.0,f,2010.0,nsw1,btp
203.0,165.0,7.0,m,2009.0,nsw1,btp
190.0,152.0,8.0,m,2010.0,nsw1,btp
205.0,169.0,8.0,m,2010.0,nsw1,btp
252.0,204.0,20.0,m,2009.0,nsw1,btp
186.0,147.0,7.0,m,2009.0,nsw1,btp
168.0,136.0,4.0,f,2009.0,nsw1,btp
243.0,192.0,17.0,f,2009.0,nsw1,btp
237.0,194.0,12.0,f,2009.0,nsw1,btp
177.0,144.0,5.0,m,2009.0,nsw1,btp
197.0,160.0,7.0,m,2009.0,nsw1,btp
192.0,156.0,7.0,m,2009.0,nsw1,btp
187.0,153.0,6.0,m,2009.0,nsw1,btp
174.0,140.0,5.0,m,2009.0,nsw1,btp
181.0,147.0,5.0,m,2009.0,nsw1,btp
158.0,127.0,4.0,m,2009.0,nsw1,btp
157.0,127.0,4.0,m,2009.0,nsw1,btp
244.0,199.0,16.0,m,2009.0,nsw1,btp
120.0,98.0,1.0,f,2009.0,nsw1,btp
220.0,183.0,11.0,m,2010.0,nsw1,btp
220.0,178.0,16.0,m,2010.0,nsw1,btp
252.0,204.0,19.0,m,2010.0,nsw1,btp
154.0,129.0,4.0,f,2009.0,nsw1,btp
136.0,112.0,4.0,m,2009.0,nsw1,btp
146.0,118.0,3.0,f,2009.0,nsw1,btp
166.0,138.0,4.0,m,2009.0,nsw1,btp
79.0,62.0,0.0,m,2009.0,nsw1,btp
82.0,65.0,0.0,f,2009.0,nsw1,btp
73.0,57.0,0.0,f,2009.0,nsw1,btp
75.0,59.0,0.0,m,2009.0,nsw1,btp
78.0,62.0,,f,2009.0,nsw1,btp
78.0,61.0,0.0,m,2009.0,nsw1,btp
74.0,58.0,0.0,m,2009.0,nsw1,btp
78.0,62.0,0.0,f,2009.0,nsw1,btp
83.0,66.0,,f,2008.0,nsw1,btp
220.0,186.0,16.0,m,2009.0,nsw1,btp
233.0,195.0,13.0,m,2009.0,nsw1,btp
88.0,71.0,0.0,f,2009.0,nsw1,btp
173.0,146.0,6.0,m,2009.0,nsw1,btp
206.0,169.0,10.0,m,2009.0,nsw1,btp
188.0,152.0,6.0,f,2010.0,nsw1,btp
170.0,139.0,5.0,m,2010.0,nsw1,btp
211.0,181.0,18.0,m,2009.0,nsw1,btp
176.0,147.0,6.0,m,2009.0,nsw1,btp
228.0,188.0,12.0,f,2010.0,nsw1,btp
202.0,169.0,11.0,f,2010.0,nsw1,btp
240.0,197.0,19.0,m,2010.0,nsw1,btp
246.0,205.0,20.0,f,2010.0,nsw1,btp
228.0,190.0,14.0,f,2010.0,nsw1,btp
182.0,155.0,7.0,m,2010.0,nsw1,btp
168.0,138.0,5.0,f,2009.0,nsw1,btp
233.0,190.0,17.0,m,2009.0,nsw1,btp
225.0,187.0,16.0,m,2009.0,nsw1,btp
211.0,169.0,19.0,m,2009.0,nsw1,btp
233.0,197.0,20.0,m,2009.0,nsw1,btp
213.0,175.0,15.0,m,2009.0,nsw1,btp
198.0,159.0,7.0,m,2009.0,nsw1,btp
233.0,193.0,15.0,m,2009.0,nsw1,btp
254.0,201.0,21.0,m,2009.0,nsw1,btp
205.0,,22.0,m,2009.0,nsw1,btp
208.0,170.0,,f,2009.0,nsw1,btp
217.0,180.0,8.0,f,2009.0,nsw1,btp
234.0,188.0,18.0,m,2009.0,nsw1,btp
257.0,215.0,20.0,f,2009.0,nsw1,btp
256.0,219.0,19.0,f,2009.0,nsw1,btp
264.0,214.0,21.0,f,2009.0,nsw1,btp
195.0,170.0,8.0,m,2008.0,nsw1,btp
216.0,185.0,15.0,m,2008.0,nsw1,btp
189.0,158.0,7.0,f,2008.0,nsw1,btp
220.0,,15.0,m,2008.0,nsw1,btp
216.0,,16.0,m,2008.0,nsw1,btp
240.0,197.0,18.0,m,2009.0,nsw1,btp
254.0,204.0,15.0,f,2009.0,nsw1,btp
210.0,169.0,8.0,f,2009.0,nsw1,btp
223.0,182.0,14.0,m,2009.0,nsw1,btp
241.0,197.0,11.0,f,2009.0,nsw1,btp
227.0,184.0,12.0,f,2009.0,nsw1,btp
243.0,197.0,16.0,f,2009.0,nsw1,btp
240.0,195.0,11.0,f,2009.0,nsw1,btp
231.0,187.0,9.0,f,2009.0,nsw1,btp
249.0,206.0,,m,2009.0,nsw1,btp
267.0,219.0,18.0,f,2009.0,nsw1,btp
263.0,219.0,20.0,f,2009.0,nsw1,btp
209.0,168.0,,m,2013.0,nsw2,btp
159.0,128.0,,m,2013.0,nsw2,btp
185.0,146.0,,m,2013.0,nsw2,btp
216.0,169.0,,m,2013.0,nsw2,btp
186.0,147.0,,m,2013.0,nsw2,btp
191.0,145.0,,m,2013.0,nsw2,btp
157.0,127.0,,m,2013.0,nsw2,btp
200.0,156.0,,m,2013.0,nsw2,btp
197.0,156.0,,m,2013.0,nsw2,btp
242.0,195.0,,m,2013.0,nsw2,btp
172.0,134.0,,m,2013.0,nsw2,btp
229.0,184.0,,m,2013.0,nsw2,btp
158.0,128.0,,nan,2013.0,nsw2,btp
242.0,194.0,,m,2013.0,nsw2,btp
217.0,162.0,,m,2013.0,nsw2,btp
192.0,153.0,,m,2013.0,nsw2,btp
195.0,157.0,,m,2013.0,nsw2,btp
245.0,191.0,,m,2013.0,nsw2,btp
240.0,192.0,,m,2013.0,nsw2,btp
300.0,,,nan,2013.0,nsw2,btp
199.0,159.0,,m,2013.0,nsw2,btp
152.0,120.0,,m,2013.0,nsw2,btp
