stl,fl,age,sex,year,source,species
109.0,87.0,,f,2008,nan,sss
110.0,86.4,4.75,f,2008,nan,sss
116.2,90.9,5.0,f,2008,nan,sss
115.5,91.9,6.0,f,2008,nan,sss
120.7,95.6,9.0,f,2008,nan,sss
112.0,86.0,4.75,f,2008,nan,sss
116.2,93.1,7.0,f,2008,nan,sss
106.0,83.0,6.75,m,2008,nan,sss
120.0,94.0,6.0,f,2008,nan,sss
126.1,98.8,9.0,f,2008,nan,sss
124.3,96.8,6.0,f,2008,nan,sss
105.0,83.5,4.75,m,2008,nan,sss
110.0,85.0,,f,2008,nan,sss
,,,m,2008,nan,sss
124.5,101.5,,f,2008,nan,sss
113.0,91.0,,m,2008,nan,sss
103.0,88.0,3.0,f,2008,nan,sss
94.5,73.0,,m,2008,nan,sss
105.5,83.6,4.417,m,2008,nan,sss
87.1,67.5,,m,2008,nan,sss
99.0,77.0,2.417,m,2008,nan,sss
101.7,80.3,3.417,f,2008,nan,sss
102.5,81.0,3.417,m,2008,nan,sss
104.0,,3.417,m,2008,nan,sss
115.6,92.5,4.417,f,2008,nan,sss
103.1,81.5,,m,2008,nan,sss
110.0,85.0,,m,2008,nan,sss
125.0,100.0,,f,2008,nan,sss
128.0,95.0,9.75,f,2008,nan,sss
128.0,102.0,,f,2008,nan,sss
123.0,97.1,8.75,f,2008,nan,sss
126.0,100.0,,f,2008,nan,sss
117.9,93.2,6.0,f,2008,nan,sss
119.6,95.0,8.0,f,2008,nan,sss
124.4,100.4,7.0,f,2008,nan,sss
73.4,56.5,0.917,m,2008,nan,sss
74.0,56.0,0.917,f,2008,nan,sss
86.0,66.0,1.917,m,2008,nan,sss
89.5,69.6,1.917,f,2008,nan,sss
87.6,68.0,1.917,f,2008,nan,sss
103.0,77.3,2.917,f,2008,nan,sss
90.0,70.0,1.917,m,2008,nan,sss
101.5,79.3,5.917,m,2008,nan,sss
93.0,73.5,,f,2008,nan,sss
102.0,78.0,2.917,f,2008,nan,sss
95.0,74.5,2.917,m,2008,nan,sss
