stl,fl,age,sex,year,source,species
145.0,118.0,6.0,f,2010.0,nsw1,abt
160.0,130.0,10.0,f,2011.0,qld,abt
144.0,116.0,9.0,f,2011.0,qld,abt
148.2,118.7,9.0,f,2011.0,qld,abt
91.0,72.1,2.416666667,m,2009.0,qld,abt
53.3,42.0,0.0,f,2012.0,qld,abt
55.7,43.8,,m,2012.0,qld,abt
59.5,47.5,0.0,f,2009.0,qld,abt
59.3,46.8,0.0,f,2009.0,qld,abt
60.2,47.2,0.0,f,2009.0,qld,abt
61.3,48.2,0.0,m,2009.0,qld,abt
63.3,50.0,0.0,f,2009.0,qld,abt
62.6,49.2,0.0,f,2009.0,qld,abt
61.9,48.5,0.0,f,2009.0,qld,abt
62.5,49.0,0.0,m,2009.0,qld,abt
76.8,,,m,2008.0,qld,abt
67.0,53.0,0.666666667,f,2007.0,qld,abt
58.8,,0.0,m,2012.0,qld,abt
113.1,89.8,5.333333333,f,2009.0,qld,abt
100.2,79.7,3.333333333,f,2009.0,qld,abt
105.5,83.3,,m,2009.0,qld,abt
88.2,69.2,1.333333333,m,2009.0,qld,abt
151.0,119.0,8.333333333,f,2009.0,qld,abt
129.0,102.0,6.333333333,f,2009.0,qld,abt
119.0,95.0,6.333333333,f,2009.0,qld,abt
139.0,108.0,6.333333333,f,2009.0,qld,abt
97.7,76.4,2.333333333,m,2009.0,qld,abt
85.3150806,67.5,1.333333333,f,2009.0,qld,abt
81.0,65.0,1.5,m,2008.0,qld,abt
70.9,55.8,1.0,m,2007.0,qld,abt
70.0,55.5,1.0,f,2007.0,qld,abt
70.0,55.5,1.0,f,2007.0,qld,abt
70.0,55.5,1.0,f,2007.0,qld,abt
70.0,55.5,1.0,f,2007.0,qld,abt
90.3,71.2,2.416666667,m,2009.0,qld,abt
89.4,,1.416666667,m,2009.0,qld,abt
67.9,,0.416666667,m,2009.0,qld,abt
101.9,80.5,3.416666667,f,2009.0,qld,abt
109.7,85.5,5.416666667,m,2009.0,qld,abt
161.5797913,131.0,11.41666667,f,2009.0,qld,abt
126.5,,6.416666667,f,2009.0,qld,abt
115.7,,5.416666667,m,2009.0,qld,abt
102.5,,3.416666667,m,2009.0,qld,abt
123.0,,7.416666667,f,2009.0,qld,abt
120.9,95.5,6.416666667,m,2009.0,qld,abt
117.1,91.3,5.416666667,f,2009.0,qld,abt
160.3787722,130.0,10.41666667,f,2009.0,qld,abt
141.7629767,114.5,7.416666667,f,2009.0,qld,abt
144.1650149,116.5,8.416666667,f,2009.0,qld,abt
174.0,139.2,10.41666667,f,2009.0,qld,abt
117.3,92.4,5.416666667,f,2009.0,qld,abt
94.0,74.6,1.416666667,f,2009.0,qld,abt
80.8,63.0,1.416666667,m,2009.0,qld,abt
89.5,71.0,2.0,m,2009.0,qld,abt
131.2,105.0,,m,2009.0,qld,abt
155.3,124.0,10.0,f,2009.0,qld,abt
90.9,71.8,3.0,f,2009.0,qld,abt
75.4,59.5,1.0,f,2009.0,qld,abt
78.3,62.1,1.0,f,2009.0,qld,abt
73.1,58.0,1.0,m,2009.0,qld,abt
78.8,63.7,1.0,m,2009.0,qld,abt
78.0,62.3,1.0,m,2009.0,qld,abt
77.3,61.1,1.0,f,2009.0,qld,abt
77.6,61.4,1.0,m,2009.0,qld,abt
80.0,62.8,1.0,m,2009.0,qld,abt
88.8,70.4,2.0,f,2009.0,qld,abt
81.6,63.6,2.0,m,2009.0,qld,abt
86.1,69.0,2.0,f,2009.0,qld,abt
75.2,58.7,1.0,m,2009.0,qld,abt
71.5,56.5,1.0,f,2009.0,qld,abt
77.0,61.0,1.0,m,2009.0,qld,abt
144.5,114.0,10.0,f,2009.0,qld,abt
78.5,61.8,0.916666667,f,2008.0,qld,abt
80.0,62.5,1.833333333,m,2008.0,qld,abt
75.5,59.0,0.833333333,f,2008.0,qld,abt
93.5,74.4,1.833333333,f,2008.0,qld,abt
76.4,59.0,0.833333333,f,2008.0,qld,abt
77.5,60.5,0.833333333,m,2008.0,qld,abt
87.95732255,69.7,1.333333333,m,2009.0,qld,abt
96.60465983,76.9,3.333333333,m,2009.0,qld,abt
84.71457107,67.0,1.333333333,m,2009.0,qld,abt
86.51609967,68.5,1.333333333,f,2009.0,qld,abt
74.6,58.4,0.833333333,f,2007.0,qld,abt
75.2,58.5,0.833333333,m,2007.0,qld,abt
70.5,55.0,0.833333333,f,2007.0,qld,abt
74.4,58.6,0.833333333,m,2007.0,qld,abt
71.9,57.7,0.833333333,f,2007.0,qld,abt
74.2,59.4,0.833333333,f,2007.0,qld,abt
71.7,56.6,0.833333333,m,2007.0,qld,abt
79.8,63.3,0.833333333,f,2007.0,qld,abt
136.8901523,,,m,2007.0,qld,abt
61.1,49.1,0.0,f,2009.0,qld,abt
66.3,51.9,0.0,f,2008.0,qld,abt
66.0,51.0,0.0,m,2008.0,qld,abt
82.0,64.0,0.916666667,m,2008.0,qld,abt
85.0,67.0,1.916666667,m,2008.0,qld,abt
82.5,65.0,1.916666667,m,2008.0,qld,abt
85.5,67.0,0.916666667,m,2008.0,qld,abt
83.0,66.0,1.916666667,m,2008.0,qld,abt
75.0,59.0,0.916666667,f,2008.0,qld,abt
82.0,64.0,0.916666667,f,2008.0,qld,abt
78.5,62.0,0.916666667,m,2008.0,qld,abt
85.0,66.5,1.916666667,f,2008.0,qld,abt
81.5,65.0,0.916666667,f,2008.0,qld,abt
78.0,61.0,0.916666667,m,2008.0,qld,abt
82.31253294,65.0,0.916666667,m,2008.0,qld,abt
