Source,Species,Date,Month,Year,Tag,FL,STL,PCL,Wgt,Sex,Umb.Scar,Clasp.length,Clasp.calc,MOD,Yolky.ova,Uter.stage,Emb,EmbTL,Embryo,Sex.Ratio.M.F,PCL.Vert,Lat,Long,LatDeg,LatMin,LonDeg,LonMin,Depth,Depth 1,Depth 2,Reader1,Reader2,AgeAgree,Decision,Readability,Edge Analysis,MIR,MIR Note
NSW1,BTP,15/04/2009,4,2009,BE150409-13,158,194,143,,F,,,,,,A,,,FALSE,,,,,30,49.56,153,5.4,50,50,,7,8,8,Michelle,3,m,0.561875665,0
NSW1,BTP,15/04/2009,4,2009,BE150409-17,166,197,149,,M,,,p,,,,,,FALSE,,,,,30,49.56,153,5.4,50,50,,8,8,8,Agree,3,m,0.336919808,0
NSW1,BTP,15/04/2009,4,2009,BE150409-3,138,168,124,,M,,,n,,,,,,FALSE,,,,,30,49.56,153,5.4,50,50,,5,6,5,Pascal,4,m,0.645816268,0
NSW1,BTP,15/04/2009,4,2009,BE150409-5,160,200,146,,M,,,p,,,,,,FALSE,,,,,30,49.56,153,5.4,50,50,,8,9,8,Pascal,3,m,0.498265505,0
NSW1,BTP,16/04/2009,4,2009,BE160409-13,157,190,145,,M,,,n,,,,,,FALSE,,,,,30,50.8,153,7.14,62.5,60,65,8,8,8,Agree,4,m,0.5463673,0
NSW1,BTP,17/03/2009,3,2009,BE170309-35,150,180,130,,M,,,n,,,,,,FALSE,,,,,30,49.749,153,5.368,50,49.7,50.3,6,9,6,Agree,4,m,0.5463673,0
NSW1,BTP,17/03/2009,3,2009,BE170309-38,138,172,127,,M,,,p,,,,,,FALSE,,,,,30,49.749,153,5.368,50,49.7,50.3,6,6,6,Agree,3,w,1.016320495,0
NSW1,BTP,17/03/2009,3,2009,BE170309-40,145,175,130,,M,,,p,,,,,,FALSE,,,,,30,49.749,153,5.368,50,49.7,50.3,5,5,5,Agree,4,m,0.621907822,0
NSW1,BTP,2/06/2009,6,2009,BW020609-12,202,252,182,,M,,175,y,,,,,,FALSE,,,,,30,28.3,153,17.8,100.6,100.6,,19,19,19,Agree,3,o,0.780868809,No MIR
NSW1,BTP,2/06/2009,6,2009,BW020609-17,148,186,132,,M,,90,n,,,,,,FALSE,,,,,30,28.3,153,17.8,100.6,100.6,,6,5,6,Agree,3,o,0.780868809,No MIR
